zz_kbcx_courseNumber,zzm_courseTitle_noEdit,zzd_semester,zzd_year,zzd_keywords,zze_courseURL
1.00,Introduction to Computers and Engineering Problem Solving,Spring,2012,computer; engineering; problem solving;  software; software development; programming; graphical user interface; numerical methods; data structures; sorting; searching; computer graphics; Java; ,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012
1.010,Uncertainty in Engineering,Fall,2008,fundamentals of probability; random processes; statistics; decision analysis; random variables and vectors; uncertainty propagation; conditional distributions; second-moment analysis; system reliability; Bayes theorem; total probability theorem; Bayesian analysis and risk-based decision; estimation of distribution parameters; hypothesis testing; simple and multiple linear regressions; Poisson and Markov processes,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-010-uncertainty-in-engineering-fall-2008
1.011,Project Evaluation,Spring,2011,civil engineering project; engineering economics; net present value; life-cycle costing; benefit-cost analysis; project evaluation; cost estimation; large-scale infrastructure; building design; construction; transportation systems; urban development; environmental projects; water resource management,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-011-project-evaluation-spring-2011
1.012,Introduction to Civil Engineering Design,Spring,2002,design theory; design tools; design techniques; problem-solving; design issues; practice in civil engineering; built facilities; buildings; bridges; roads; built environment; natural environment; economic factors; social factors; expected life span;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-012-introduction-to-civil-engineering-design-spring-2002
1.017,Computing and Data Analysis for Environmental Applications,Fall,2003,"probability; statistics; events; random variables; univariate distributions; multivariate distributions; uncertainty propagation; Bernoulli trials; Poisson processed; conditional probability; Bayes rule; random sampling, point estimation; interval estimation; hypothesis testing; analysis of variance; linear regression",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003
1.020,Ecology II: Engineering for Sustainability,Spring,2008,modeling; matlab; human impact on environment; economics; natural resources; assessment of model predictions; mass balance; energy balance; mass transport; energy transport; resource economics; life cycle analysis; chemical kinetics; population modeling; pesticides; nutrients; building energy; air quality; crop irrigation; groundwater,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-020-ecology-ii-engineering-for-sustainability-spring-2008
1.022,Introduction to Network Models,Fall,2018,"network models
spectral graph theory
notions of centrality
contagion phenomena
cascades
diffusion
opinion dynamics
triadic closure
homophily
spectral clustering
community detection
liner dynamic systems
Markov chains
herding
epidemics
game theory
congestion games
networks",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-022-introduction-to-network-models-fall-2018
1.033,Mechanics of Material Systems: An Energy Approach,Fall,2003,continuum mechanics; material modeling; engineering materials; energy principles: deformation and strain; momentum balance; stress; stress states; elasticity and elasticity bounds; plasticity; yield design;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-033-mechanics-of-material-systems-an-energy-approach-fall-2003
1.040,Project Management,Spring,2004,"project management, resource management, financial controls, construction management,  scheduling, estimating, progress monitoring,  project control",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-040-project-management-spring-2004
1.040,Project Management,Spring,2009,project management; public-private partnership; infrastructure; construction finance; enterprise project management; cost estimation; portfolio project management; risk management; risk analysis; project control; project organization; private finance initiative; allocation; risk management process; cost-benefit analysis; project organization and contracts; procurement,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-040-project-management-spring-2009
1.050,Solid Mechanics,Fall,2004,solid mechanics;engineering design; open ended exercises; matrix analysis of structures;  structural mechanics; static equilibrium; force resultants; support conditions; determinate planar structures; beams; trusses; frames; stress; strain; shear; bending; torsion; matrix methods; elastic stability; design exercises; interactive exercises; systems thinking,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-050-solid-mechanics-fall-2004
1.050,Engineering Mechanics I,Fall,2007,mechanics; materials; structures; engineering design; Galileo's problem; dimensional analysis; atomic explosion; World Trade Center towers; stress; continuum model; beam model; strength models; strength criteria; stress plane; deformation; strain tensor; Mohr circle; elasticity; energy bounds; fracture mechanics; collapse,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-050-engineering-mechanics-i-fall-2007
1.051,Structural Engineering Design,Fall,2003,structural engineering design; concrete design; steel design; analysis; element level; system levels; design experience; real-world; open-ended; design issues;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-051-structural-engineering-design-fall-2003
1.054,Mechanics and Design of Concrete Structures,Spring,2004,concrete structures; mechanics; design; strength; deformation; stress; strain; failure criteria; concrete plasticity; fracture mechanics; reinforced concrete; code constraints; high-performance materials; slabs; yield line theory; behavior models; nonlinear analysis; bridge structures; concrete shells;  containments,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-054-mechanics-and-design-of-concrete-structures-spring-2004
1.060,Engineering Mechanics II,Spring,2006,fluid mechanics; fluids; civil and environmental engineering; differential equations; calculus; flow; movement; wave forms; Bernoulli's theorem; wavelets; mechanics; solids; hydrostatics; mass; momentum; energy; flow nets; velocity; laminar flow; turbulent flow; groundwater; hydraulics; backwater curves; ,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-060-engineering-mechanics-ii-spring-2006
